elev_mean,slope_mean,area_gages2,p_mean,pet_mean,high_prec_freq,q_mean,runoff_ratio,baseflow_index,zero_q_freq,forest_frac,dom_land_cover,dom_land_cover_frac,soil_depth_pelletier,sand_frac,silt_frac,clay_frac,carb_rocks_frac,mean_ph,num_ph_samples,mean_temp,num_temp_samples,high_q_freq,gvf_max,lai_max,water_frac,organic_frac,aridity,p_seasonality,frac_snow,high_prec_dur,high_prec_timing,low_prec_freq,low_prec_dur,low_prec_timing,stream_elas,slope_fdc,hfd_mean,q5,q95,high_q_dur,low_q_dur,low_q_freq,lai_diff,gvf_diff,root_depth_50,root_depth_99,soil_depth_statsgo,soil_porosity,soil_conductivity,max_water_content,other_frac,geol_1st_class,geol_1st_class_frac,geol_2nd_class,geol_2nd_class_frac,geol_porosity,geol_permeability
250,22,2253,3.1,2,13,1.7,0.54,0.59,0,0.91,8,NA,7.4,28,55,16,0,7,4,7.2,112,6,0.8,4.2,5.4,0,0.6,0.2,0.3,1.3,4,202,3.4,2,1.8,1.5,207,0.2,6.4,9,20,41,3.3,0.37,NA,NA,1.2,0.46,1.1,0.56,0,11,0.8,4,0.2,0.17,-14.7
90,18,574,3.6,2.1,21,2.17,0.6,0.55,0,0.92,8,0.82,17.4,59,28,12,0,6.5,106,9.9,142,4,0.86,4.9,1.2,0,0.6,-0.1,0.2,1.2,4,234,3.7,3,1.7,1.8,166,0.2,7.1,2,17,65,3.7,0.34,0.24,2.2,1.5,0.42,2.4,0.63,0,1,0.6,11,0.2,0.07,-14.21
140,13,3676,3.3,2,17,1.82,0.56,0.51,0,0.88,8,0.98,19,32,52,15,0.1,NA,0,8.2,104,12,0.86,4.7,1.6,1,0.6,0,0.3,1.2,4,216,3.5,1,1.4,1.9,185,0.1,6.9,7,19,89,3.7,0.35,NA,NA,1.5,0.46,1.3,0.65,0,11,0.6,8,0.3,0.12,-14.49
250,30,769,3.5,2.1,19,2.03,0.58,0.45,0,0.95,8,1,7.3,35,51,13,0,7.1,1,8.6,141,19,0.87,4.9,0.7,0,0.6,0.1,0.3,1.1,4,227,3.5,1,1.6,1.5,181,0.1,8,3,15,95,4,0.4,0.25,2.4,1.3,0.45,1.4,0.56,0,11,0.4,8,0.4,0.07,-14.84
310,50,909,3.3,2.1,20,2.18,0.66,0.47,0,0.99,8,0.85,5.4,55,34,10,0,7.5,2,8.6,106,15,0.89,5.1,0,0,0.6,0.1,0.3,1.2,4,236,3.7,1,1.5,1.4,185,0.2,8.1,3,13,72,4.3,0.45,0.24,2.3,1.4,0.42,2.6,0.56,0,8,0.3,1,0.3,0.05,-14.48
620,60,384,3.7,2.1,14,2.41,0.64,0.46,0,1,8,0.59,1.3,31,53,11,0,6.7,2,7.5,91,14,0.88,4.8,0,0,0.6,0.2,0.4,1.1,3,194,2.9,2,1,1.3,197,0.3,8.7,3,7,59,4.1,0.48,0.23,2.2,1.5,0.45,1.3,0.62,6,11,0.5,8,0.4,0.07,-15.17
470,90,181,4.1,2.1,18,2.73,0.67,0.44,0,1,8,0.58,0.9,58,32,10,0,6.4,536,9,502,16,0.89,5,0,0,0.5,0.1,0.3,1.2,4,220,3.3,2,1.4,1.3,183,0.3,10.1,2,10,82,4.3,0.46,0.22,2.2,1.5,0.42,2.9,0.59,0,8,0.9,11,0.1,0.03,-14.21
140,17,70,3.7,2.3,22,1.96,0.53,0.54,0,0.97,5,0.98,9,56,29,9,0,6.7,18,13,18,6,0.91,5.4,0,0,0.6,0,0.2,1.2,4,242,3.7,4,1.2,1.9,156,0.1,6,1,10,85,4.8,0.5,0.19,2,1.5,0.42,3.1,0.57,6,8,1,NA,0,0.01,-14.1
120,17,78,3.8,2.3,21,1.74,0.45,0.59,0,0.91,5,1,9.1,53,28,9,0,7,7,17.4,7,5,0.91,5.4,0,0,0.6,0,0.1,1.2,4,241,3.9,4,1,1.8,159,0.2,5,1,9,58,4.8,0.51,0.19,2,1.5,0.42,3.1,0.53,11,8,1,NA,0,0.01,-14.1
780,110,229,4,2.1,16,2.38,0.6,0.54,0,1,8,0.91,1.6,54,30,9,0,7,68,7,216,8,0.87,4.5,0,0,0.5,0.2,0.3,1.3,4,204,3,2,1.4,1.4,189,0.5,7.5,2,7,17,3.7,0.39,0.24,2.4,1.2,0.42,2.8,0.48,7,1,0.8,8,0.2,0.01,-14.1
